rating,predicted_score,review_text
5,5,its good
5,5,whatsapp not working well always shows offline please sort out my problem
5,5,oppo not corresponding share with me the official app oppor7
5,5,excellent app great communication super connect that wonderful easy to connect especially overseas platforms
4,5,simply the est for chat and callsi love it
5,5,good but i need whatsapp premium features
5,5,awesome i just need it to download and install
5,5,very nice app thnx so much
2,1,whatsapp web not working camera focus not working
5,5,nice and good to use
5,1,this account can no longer use watsapp due to spam kyu ho raha hey
4,4,forever controversy workshop lawyer carbon insurance hide glad violate raise good rush cop blame adolescent intensity lower opportunity survey steal burn bag adventure board option
4,4,ive been using this app for years and i just absolutely love all the features recently the app has introduced a new chat lock feature and i would say that this feature is a very needed one as well because ive been struggling with some privacy issues personal i cannot use this feature on my redmi 8a dual because its an older phone and im terribly disappointed could you please let the users of older phones also have this feature it would be very useful expecting a quick response
1,1,they banned my account more than 9 times i didnt know what i did
1,1,bad every day ban whatsapp
5,5,its the most convenient and easytouse application for a communication with your international friends colleagues customers 
5,5,install it very good application
1,1,my whatsap was hacked
5,5,not like othersits better
5,5,im still a novice with this app i need help
1,1,whatsapp are poor quality server
5,5,i want to upgrade my whatsapp please
5,5,nicely done
5,5,my name is amobi chris i am giving whatsapp 5 star review to show my appreciation for restoring my account back to my i love whatsapp 
5,5,better than viber and skype thank you for giving replys  bye
2,1,chat wallpaper flickering this update
1,1,i try to change my number i did not get the code now i dot have whatsapp anymore just a permanent screen that prompt me to send a code that dont work and it doesnt show my chat anymore i cannot use anymore a qr code would be so much better i give you 1 star
5,5,use facebook account
5,5,it ok
5,5,very useful app ever
4,5,thanks you
5,5,this is so straight enough imagine sometimes it with only 3mbs thats amazing
3,5,my whatsapp account has been blocked by forgein country please recover my whatsapp account thank you so much 
5,5,whatsapp good bat net slow end call
4,5,it does what its meant to do i guess meta ai sucks
1,1,please give us fieture tag everyone we neeeeeed thisssss
5,5,i want you to add a feature in contacts to hide someones contact so my wife wouldnt know that whos number is this she is very suspicious
5,5,its a good app for people message from far away i love whatsapp
5,5,its quite interesting but sometimes runs slow but i love it
4,5,this is my mostly used communication app and i love this app
4,5,easy to use
1,1,trying unmute most of contact and messages but not responding looks like no broker hacker is using my duplicate ph no and airtell no privacy and giving all access to hacker
5,5,new cover whatsapp maseenger
4,5,send otp
1,5,i cant understand this new feature can any one please understand me the same features
1,1,this account can no longer use whatsapp business recent activity on this account does not follow the whatsapp business terms of service on sending spam or other impermissible communications this accounts business info and chats are still on this device
2,1,this whatsapp its very hassle why because im log in today then tomorrow i cant open it because may account is spam why i hope fix it
1,1,no quick respond from others
5,5,it is nice
