review_id,rating,review_text,review_date,helpful
1,5,WhatsApp not working well always shows offline please sort out my problem,11/24/2025 20:03,0
2,5,"Oppo not corresponding, share with me the official app( oppoR7)",11/25/2025 6:26,0
3,5,"Excellent app, great communication super connect that wonderful easy to connect especially overseas platforms",11/25/2025 18:09,0
4,4,simply the ɓest for chat and calls.i love it,11/24/2025 1:10,1
5,5,good. but i need WhatsApp premium features,11/26/2025 16:42,0
6,4,learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning ,25/11/2025 06:54,1
7,5,Awesome. I just need it to download and install,11/22/2025 20:27,0
8,5,very nice app thnx so much,11/22/2025 15:53,0
9,5,Really really apriacite 100/,11/26/2025 17:06,0
10,2,whatsapp web not working camera Focus not working,11/26/2025 17:29,0
11,5,Nice and good to use,11/23/2025 14:14,0
12,5,This account can no longer use watsapp due to spam kyu ho raha hey,11/24/2025 19:49,1
13,4,forever controversy workshop lawyer carbon insurance hide glad violate raise good rush cop blame adolescent intensity lower opportunity survey steal burn bag adventure board option,21/11/2025 16:27,1
14,4,"I've been using this app for years and I just absolutely love all the features. Recently the app has introduced a new chat lock feature and I would say that this feature is a very needed one as well because I've been struggling with some privacy issues (personal). I cannot use this feature on my redmi 8a dual because it's an older phone, and I'm terribly disappointed. Could you please let the users of older phones also have this feature, it would be very useful. Expecting a quick response☺️",11/24/2025 19:37,8
15,1,They banned my account more than 9 times I didn't know what I did,11/25/2025 0:15,0
16,1,i can't open my whatsapp whenever i open it.. it close automatically please help its very urgent,11/25/2025 23:58,0
17,1,Bad every day ban what'sapp,11/22/2025 15:00,0
18,5,It's the most convenient and easy-to-use application for a communication with your international friends/ colleagues/ customers 💚,11/26/2025 14:37,0
19,5,Install it very good application,11/26/2025 18:03,0
20,1,My whatsap was hacked,11/22/2025 17:26,0
21,5,uVlIUP6rZOwbnKA9nUZiWqxC61ia2hHBs2L52NyTHS4nLs,23/11/2025 12:05,0
22,5,Not like others.Its better,11/22/2025 21:20,0
23,5,I'm still a novice with this app i need help,11/22/2025 0:26,0
24,4,aHU4DCtH2mD9rhBxdZwXPAkfhASrXQTvktLUq3hSNkcd0EMIQVfZqEE8zL4ORd45u4k7uOiOXMxnyY0tnN8lBQBSMh4gh,24/11/2025 18:08,1
25,1,WhatsApp are poor quality server,11/25/2025 19:18,1
26,5,I want to upgrade my WhatsApp please,11/23/2025 13:56,0
27,5,my name is Amobi Chris I am giving Whatsapp 5 Star review to show my appreciation for restoring my account back to my. I love Whatsapp 👍👍🤝,11/26/2025 0:33,1
28,5,Better than viber and skype. Thank you for giving replys .. Bye,11/25/2025 13:34,0
29,2,Chat wallpaper flickering this update😵‍💫,11/22/2025 12:06,2
30,1,I Try to change my number. I did not get the code. Now I do't have whatsapp anymore. just a permanent screen that prompt me to send a code that don't work and it doesn't show my chat anymore. I cannot use anymore. a QR Code would be so much better. I give you 1 star,11/22/2025 20:20,0
31,5,use Facebook Account,11/25/2025 22:50,0
32,5,very useful app ever,11/23/2025 22:24,0
33,1,truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly truly ,22/11/2025 13:02,0
34,5,this is so straight enough imagine sometimes it with only 3mbs that's amazing,11/26/2025 11:29,0
35,3,my whatsapp account has been blocked by forgein country please recover my whatsapp account thank you so much 🙏,11/22/2025 18:18,0
36,1,"I purchased a new SIM today.Then opened WhatsApp with the number.After WhatsApp account creation,1040+ WhatsApp contacts of the Previous SIM User automatically synchronised with my google account .What a pathetic from Android,Google,WhatsApp developers?Now i should delete the previous users contact one by one.Further the sim contacts automatically synchronised to Non deletable View Only Contacts.The developers should disable auto synchronisation of Contact 2 prevent this kind of issue in future.",11/25/2025 12:09,0
37,5,whatsapp good bat net slow end call,11/21/2025 20:15,0
38,4,It does what it's meant to do I guess. Meta AI sucks,11/22/2025 19:22,0
39,1,PLEASE!!!!!!! GIVE US FIETURE TAG EVERYONE!!!!!!! WE NEEEEEED THISSSSS!!!!!!!!,11/22/2025 19:19,1
40,5,I want you to add a feature in contacts to hide someone's contact so my wife wouldn't know that who's number is this. She is very suspicious.,11/23/2025 7:16,0
41,5,It's a good app for people message from far away i love Whatsapp,11/26/2025 20:47,1
42,5,It's quite interesting but sometimes runs slow but I love it,11/22/2025 14:43,0
43,4,this is my mostly used communication app and I love this app,11/23/2025 16:31,0
44,1,"trying unmute most of contact and messages, but not responding. looks like no broker hacker is using my duplicate ph no and airtell no privacy and giving all access to hacker",11/26/2025 12:48,0
45,5,new cover WhatsApp maseenger,11/25/2025 2:56,0
46,1,I can't understand this new feature ..can any one please understand me the same features,11/24/2025 22:18,0
47,5,5EDeqSdCqcmKFz3ewUgZkUKWdc72plozQCTGVGO4mcz09EBSCR6og4Am0vyOsAlcudWgc6CIzX027Y66hc38lJ3lE,21/11/2025 23:28,1
48,1,This account can no longer use WhatsApp Business Recent activity on this account does not follow the WhatsApp Business Terms of Service on sending spam or other impermissible communications. This account's business info and chats are still on this device.,11/26/2025 14:52,0
49,2,"this WhatsApp it's very hassle, why because I'm log in today then tomorrow I can't open it because may account is spam why I hope fix it",11/25/2025 3:52,0
50,1,no quick respond from others,11/23/2025 19:44,0
51,4,hello I've been recently having problem with gifs they won't load I searched in Google and it said to clear cache but will clearing cache loose all my messages?,11/25/2025 14:01,0
52,5,l need my what's app back,11/21/2025 23:45,0
53,4,NX7NnGZDykMM2yrHaKoalnjOgY9UHjIsYeUeqZ5SLGk7IIN7ZTp8IybZod5m78Ngz0rI3Cw9JZZwTa,23/11/2025 09:12,0
54,5,sir please unbanned my WhatsApp,11/25/2025 14:07,0
55,5,Bad ..... service in Pakistan Otherwise it will be finished.....,11/23/2025 6:59,1
56,5,"nice and cool, very nice actually",11/23/2025 15:01,0
57,5,"you need the official whatsapp to log in | you need the official whatsapp to log in problem Aapko WhatsApp login karte waqt error aa raha hai ""You need the official WhatsApp to log in"" ya phir ""This account can no longer use Wha...more",11/26/2025 21:23,0
58,1,what's app is not open,11/25/2025 22:44,0
59,4,percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage percentage ,25/11/2025 21:05,1
60,1,whatsapp is new sms service..it's pathetic to see unknown numbers sending whatsapp. moreover this latest update shows status horizontal and channels vertical scroll... might be good for increasing channel subscriptions..useless for individuals,11/26/2025 8:53,0
61,5,is the best app,11/25/2025 10:04,0
62,5,very nice 👍 good to use simple to learn,11/21/2025 22:14,0
63,5,verification code is not received my mobile,11/24/2025 19:06,0
64,1,"nothing better since my last update, every morning when I tried to check messages on my phone it's only Spammed messages I see.yet I didn't violet your terms of service what's wrong with this platform now it was reliable way to use for different purposes but now it's not work like that",11/24/2025 9:35,0
65,5,it messages easily to everyone and i like this app so much,11/24/2025 20:14,0
66,1,it keeps sending me out and it's annoying plz stop it,11/24/2025 11:40,0
67,5,"The problem I have here is I can't download profile pictures , the same way I can't take screenshots too",11/26/2025 10:54,0
68,5,i need to asst about my whatsappa account,11/23/2025 17:09,0
69,4,i star 4 because I want a little bit but very helpful change in WhatsApp pls add the option to cut part in video note and also increase the timeline of video note,11/23/2025 21:18,1
70,1,Not open whatsapp,11/25/2025 21:05,0
71,1,I do not enjoy using this whatsapp because when I send people messages they do not go through,11/23/2025 20:21,0
72,3,helpful joint strip funding demand split car adviser potential someone beside defendant oppose memory operate worth mind drive observer athletic mere put best silence top variety look facility slave follow obvious conventional research perceive farm Christmas strengthen used component carbon regime green funny regularly problem interpret equipment congressional money criticize prison direct pass itself corn level cooperation approximately severe dismiss green finish issue period supposed adviser fan,24/11/2025 13:42,1
73,5,It the best messaging app to ever exist,11/24/2025 14:32,0
74,5,l recommend this app coz llike ut,11/25/2025 0:52,0
75,5,WhatsApp=100/100,11/24/2025 4:59,0
76,4,I will prefer this app it helps me a lot but I will love it more if it have streaks and some restores like tiktok snap chat and more I'm giving it five stores one it is like that please please respond..,11/22/2025 3:09,2
77,1,there is so many song are not added,11/22/2025 20:37,0
78,5,the app is a very nice app maybe you guy should add something like filter to the video and camera settings,11/24/2025 14:21,0
79,5,very informative,11/26/2025 9:33,0
80,5,I enjoy the App,11/26/2025 16:44,0
81,3,My whatsapp is always blocked almost every other day for verifying and I don't know how it happens and what are they verifying?,11/22/2025 1:53,0
82,1,expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion expansion ,24/11/2025 03:02,1
83,4,Being in a LDR marriage can be tough at times. Communication is a big part of the reason my marriage works. WhatsApp has been my husband's and I main form of communication since we were in the courting/dating stage of our relationship. It's reliable for the most part and we have had minimal issues. Definitely would recommend for those who wish to keep in touch with love ones who are overseas.,11/22/2025 21:34,3
84,5,The used of WhatsApp brings a lot of many questions about the same thing as a good time for me and my friend 💞,11/26/2025 0:45,0
85,5,This app is soo cool,11/22/2025 14:08,0
86,4,Pls i want chat with my watsapp but he s not working,11/26/2025 14:11,1
87,5,I have really helped a lot of people there who had the same interest as meq,11/24/2025 20:15,0
88,1,the backup restore is random,11/23/2025 21:34,0
89,1,my WhatsApp massager is stopping,11/23/2025 22:54,0
90,1,"The problem is that the word ""bio"" has a limited duration and then disappears. This is a very bad problem; please fix it.",11/23/2025 13:07,0
91,1,chatlock option is worthless it doesn't give any backup and only option ia unlock and clear chat I hate this option,11/23/2025 20:45,0
92,1,I what my messages back on WhatsApp please because I don't know how retrieve my messages how do I report threatend message on WhatsApp and I can't see about,11/23/2025 23:49,2
93,1,My WhatsApp nomber don't want work My WhatsApp number is not working,11/26/2025 2:33,1
94,1,"I love Whatsapp because It's very good to us we can use it to chat, get information, and to communicate",11/26/2025 13:29,0
95,5,best app I really like using it,11/24/2025 14:46,0
96,5,I enjoy using WhatsApp messager but I have small issues why my WhatsApp always lock please check my WhatsApp,11/26/2025 1:15,0
97,5,great good luck,11/26/2025 12:36,0
98,5,very interesting,11/24/2025 14:38,0
99,4,my experience is very good,11/24/2025 6:40,0
100,1,My whatsapp do not opening,11/26/2025 20:57,0
101,5,very nice app and easy to use,11/25/2025 9:21,0
102,5,This app is nice,11/22/2025 18:47,0
103,2,"you experience lots of hitched with your app .. instead of increasing featured, try working on the lapses .. I'm tired abeg",11/26/2025 3:31,0
104,4,sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample sample ,21/11/2025 02:02,1
105,4,GBox is a very good app but only one problem they do not support whatsapp,11/24/2025 13:47,0
106,1,3XxinZKBCmuwNNlpPA31h1dsoIfUFHjIZIZjOtxgG2GByXelgMlUKSSWMVTtkGiZUW0Q5opcEVvfGUj,26/11/2025 21:09,0
107,1,Edit: Personalized Read Receipts? only then blue ticks on for a few chats and not for everyone. that will be such a handy feature to have. 1 starring tk change from 5 so it comes up as a new comment ---- Is it possible to add an authentication password so that i can log out without unlinking it & next time I use it I just have to type in my password without looking for my cell & pick where I left.,11/24/2025 16:00,12
108,5,"convenient, fast and easy in business, and also personal usage.",11/25/2025 5:54,0
109,1,i have a problem with login to another new phone,11/25/2025 7:32,0
110,5,My whatsapp is not updating,11/26/2025 18:26,0
111,1,unable to lock chats.. again and again showing set up device passcode.. even after setting up a password it is still the same.. worst really worst,11/22/2025 15:32,0
112,5,the best communications app.,11/25/2025 11:12,0
113,3,Okkk good 👍👍👍 👍👍👍 nice 👍👍👍👍 simple and describe the wjhccv,11/26/2025 18:17,0
114,4,there should be a send schedule,11/25/2025 23:22,0
115,1,Help my Whattsapp number is banned I am facing a problm whattsapp this account is not allowed to use whattsapp Due to spam please fix this problm and return to review my whattsapp number I have not did anything against Whatsapp policy and rule's I am sure that my number has been banned by mistake please review my request My whattsapp number Thanks and regards,11/26/2025 18:37,0
116,1,"Why I can't pin the massage l, Please fix it",11/26/2025 12:41,0
117,5,"It's fantastic, it's the app I use the most.🥰🌹🤍",11/26/2025 18:36,0
118,5,thanks for your help,11/24/2025 20:56,0
119,1,"I absolutely hate how whatsapp is forcing me to update the app when it's completely fine as it is.It won't let me access the app,i can't receive messages nor send them because i have to get gain space inorder to download (update) for te new whatsapp.",11/25/2025 18:57,0
120,1,"why the ""About"" status has only 50 characters now? And why on earth does it have a timer now??? I don't understand why developers want WhatsApp to be like other social media platforms???!!!!!",11/25/2025 16:09,0
121,5,good experiences with WhatsApp,11/22/2025 17:55,0
122,1,there is an issue of the keyboard in only WhatsApp,11/23/2025 8:33,0
123,4,I think you should remove the 'channel' option from whatsapp it's not important. make whatsapp simple messenger application.,11/23/2025 21:12,2
124,5,best application,11/22/2025 22:56,0
125,5,best app for remaining in touch with friends and loved ones. broadcast MSG limit is very less. it can be 500 p.m.,11/24/2025 10:56,0
126,2,"i have 2 WhatsApp number running in 1 app. the other number never get any notification, I must switch accounts regularly. why create a feature for running 2 numbers at the same time, but you must switch regularly? what concept is that?",11/23/2025 18:38,0
127,1,it suddenly stopped working. I open the app and it closes immediately,11/23/2025 17:25,0
128,1,very bad app my watsapp account banned since 10 days poor app bad poor,11/24/2025 19:38,0
129,5,WhatsApp is a good app in my opinion,11/23/2025 12:39,0
130,5,this app are usefull,11/22/2025 18:49,0
131,5,It's very very Good,11/26/2025 16:33,0
132,4,can u add themes option for home screen of WhatsApp. it would be very helpful and make the app look more interesting.,11/23/2025 17:29,0
133,5,This application is good to connect with each other,11/22/2025 21:29,0
134,5,its a perfect application But please just don't ruined it like facebook it was fun once but now look at the face book please keep it like this and don't rush like adding thi feature and this and this if you want those feature made a new app adding more & more features will ruined the fun and main motive of this app adding channels was enough thats a good thing but don't make ir overloaded with unnecessary features thats just an advice from a programmer guys you are the the best of world anyway,11/22/2025 5:23,0
135,5,Nice thanks My watsapp,11/22/2025 21:13,0
136,5,the Best app good and correct in the WhatsApp group,11/24/2025 18:33,0
137,2,arratai is best,11/26/2025 7:01,0
138,3,this issue happened after the recently update. i can't pin chats and sometimes the theme change to regular wallpaper and chat colour. hope this will be fix soon.,11/26/2025 18:54,0
139,5,I love the WhatsApp,11/25/2025 18:22,0
140,4,wine embrace investigate regime stone composition sector guilty fate gender hungry perception everybody subject license cable master audience complain mood planning perception jump have get sea professor especially shopping horse watch joy oh volume unfortunately extremely fine half surprised staff write fall user investigator athlete their scared strengthen majority celebrate stream currently anticipate test warn impression engage horizon assault abroad criminal scandal concern e-mail fifth unable in,21/11/2025 03:48,1
141,1,mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse mouse ,23/11/2025 20:32,0
142,5,good very good nice I love what's app so much and i also love ❤️ how the operate like i love ❤️ very much thing about them,11/24/2025 3:15,0
143,2,i was using to much,11/23/2025 1:05,0
144,5,kindly provide all supported updates for old android os,11/23/2025 12:39,0
145,1,Some people's bio are not showing after your latest update.,11/21/2025 21:05,0
146,4,it's good but not that much,11/23/2025 16:11,0
147,4,I can no longer see time stamps for my about. Kindly check on this,11/23/2025 14:52,0
148,5,"pls meta try to add ways we can get cash inside this app I think it may add to its usefulness,can I give u 5star",11/26/2025 19:07,0
149,4,this is a nice and very useful app I like the app so much and I can talk to my friend easily 😊,11/22/2025 21:17,0
150,5,That's Also a good And Very Helpful 🙂,11/22/2025 18:54,1
151,5,"very fast and portable and preferable to people , but why will you have to have data first before you send a message",11/25/2025 1:32,0
152,1,everything is good but linking any device is so hard tho its easy but why in the world it takes to much time and all time say if everything fine meh ur Internet problem ur scan problem etc so fix it pls,11/22/2025 19:29,0
153,5,ALWAYS GOOD ALL THE TIME 🙏🙏😭🆓🆙 EVENT TYPE MOTION DETECTION 😭😭😭😭😭😭😭😭😭,11/25/2025 23:48,0
154,5,So good and so grateful,11/25/2025 17:37,1
155,1,WhatsApp not open,11/24/2025 1:01,0
156,5,it give good service.,11/25/2025 9:53,0
157,1,old whatsapp version is best new update not good,11/25/2025 18:42,0
158,5,"it's an amazing way of communicating with my family member's and friends , back home.",11/26/2025 21:07,0
159,5,"This app is the best i have seen good in chatting, video calling ,and others",11/24/2025 1:07,0
160,5,chat and account back please please,11/21/2025 21:09,0
161,1,lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson lesson ,26/11/2025 01:18,0
162,1,my whatsapp account showing due to spam... please solve my problem. I am unable to do my office related work because of that.,11/21/2025 20:32,0
163,5,a very beautiful aap s,11/25/2025 12:34,0
164,5,I really love this app❤️,11/23/2025 9:03,0
165,5,"This is the best communication app you can find, I love everything about it how I can chat with anyone no matter how far they r from me.",11/24/2025 0:05,0
166,1,unable to get the latest,11/26/2025 1:34,2
167,1,unable to install the application due to unknown reasons. not facing this issue for other apps,11/25/2025 5:56,0
168,2,news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news news ,23/11/2025 15:22,1
169,1,sorry but i don't like this app when u insert the meta ai at the search panel. disturbing me. please stop updating and add anything more about ai. now version is okay. praivesi kami cam ne lak!,11/23/2025 21:24,0
170,4,This application is too much,11/23/2025 23:32,1
171,5,I was use this account for long years but I don't face the kind problem,11/22/2025 19:00,0
172,3,dfxnIyiIFsLHymhItDPtY1UgAWPkfG4Uj3wixBWCQ6zLhmYSpK1RxIiQJ7TEGU,26/11/2025 21:09,0
173,2,"The transfer chat function and all related to back up process and messages/chats restore is obnoxious. too slow, full of little bugs and redundancies. why don't you allow a straightforward process from the Google back up instead I got stuck with transfer chat process that take hours in old phones...",11/23/2025 2:53,1
174,5,"""WhatsApp has always been my go-to app for fast, secure, and smooth communication. Messaging, calling, and media sharing — everything works flawlessly. The UI is clean, updates are consistent, and overall performance is reliable. Truly one of the best communication apps out there.""",11/25/2025 0:17,0
175,1,my WhatsApp account not using says it no longer use due to spam please I request to you open my account thanks.,11/22/2025 13:11,2
